2	5000	1000	38.799461	0.039421	38.838882
2	5000	1000	36.388616	0.026982	36.415598
2	5000	1000	36.341624	0.020572	36.362196
4	5000	1000	21.339771	0.174143	21.513915
4	5000	1000	21.323206	0.278933	21.602139
4	5000	1000	21.314303	0.390735	21.705037
8	5000	1000	10.360990	0.511376	10.872366
8	5000	1000	10.286372	0.092484	10.378855
8	5000	1000	10.281357	0.068687	10.350044
12	5000	1000	6.886772	0.494976	7.381749
12	5000	1000	6.907278	0.742172	7.649450
12	5000	1000	6.852700	0.154007	7.006707
15	5000	1000	5.446219	0.425166	5.871384
15	5000	1000	5.426871	0.113677	5.540549

